,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Drew Brees,33.00,36,29,375,3,0,0,3,2,0,0,0,0,0,0,0,0
Odell Beckham Jr.,31.00,0,0,0,0,0,0,1,0,0,0,12,143,3,0,1,0
Dez Bryant,29.00,0,0,0,0,0,0,0,0,0,0,6,114,3,0,0,0
Eli Manning,28.00,34,23,250,3,0,0,0,0,0,0,0,0,0,0,0,0
Tony Romo,27.00,31,22,265,3,0,0,4,-1,0,0,0,0,0,0,1,0
Jeremy Hill,26.00,0,0,0,0,0,0,25,148,2,0,1,4,0,0,0,0
Matt Ryan,24.00,37,26,310,2,1,0,3,27,0,0,0,0,0,0,0,0
Alex Smith,24.00,30,18,297,2,0,0,3,17,0,0,0,0,0,0,0,0
Le'Veon Bell,23.00,0,0,0,0,0,0,20,47,2,0,5,72,0,0,0,0
Tom Brady,22.00,35,21,287,2,1,0,3,18,0,0,0,0,0,0,0,0
Knile Davis,20.00,0,0,0,0,0,0,9,11,1,0,1,70,1,0,0,0
DeMarco Murray,20.00,0,0,0,0,0,0,31,81,2,0,1,3,0,0,0,0
Derek Anderson,18.00,40,25,277,1,0,0,5,14,0,0,0,0,0,0,0,0
Robert Griffin III,18.00,27,18,236,1,0,0,5,46,0,0,0,0,0,0,1,0
Andrew Luck,18.00,34,18,187,2,1,0,8,18,0,0,0,0,0,0,0,0
Demaryius Thomas,18.00,0,0,0,0,0,0,0,0,0,0,6,123,1,0,0,0
Teddy Bridgewater,17.00,41,31,315,1,2,0,3,30,0,0,0,0,0,0,0,0
Jay Cutler,17.00,31,17,194,2,3,1,1,20,0,0,0,0,0,0,0,0
Ryan Tannehill,17.00,47,29,346,1,2,0,3,21,0,0,0,0,0,0,0,0
Eddie Lacy,16.00,0,0,0,0,0,0,15,97,1,0,2,11,0,0,0,0
Josh McCown,16.00,28,13,154,1,1,0,2,21,1,0,0,0,0,0,2,0
Mike Wallace,16.00,0,0,0,0,0,0,1,0,0,0,5,104,1,0,0,0
Rob Gronkowski,15.00,0,0,0,0,0,0,0,0,0,0,3,96,1,0,0,0
Marshawn Lynch,15.00,0,0,0,0,0,0,21,91,1,0,1,7,0,0,0,0
Peyton Manning,15.00,20,14,233,1,0,0,3,-3,0,0,0,0,0,0,0,0
Matt Asiata,14.00,0,0,0,0,0,0,11,36,1,0,7,50,0,0,0,0
Julian Edelman,14.00,0,0,0,0,0,0,1,6,0,0,7,88,1,0,0,0
Joe Flacco,14.00,30,20,221,1,0,0,4,8,0,0,0,0,0,0,0,0
Devin Hester,14.00,0,0,0,0,0,0,0,0,0,0,5,85,1,0,0,0
Ben Roethlisberger,14.00,35,27,360,0,0,0,2,-2,0,0,0,0,0,0,0,0
Geno Smith,14.00,28,16,179,1,0,0,4,16,0,0,0,0,0,0,0,0
Derek Carr,13.00,56,27,222,1,0,0,1,0,0,0,0,0,0,0,1,0
Harry Douglas,13.00,0,0,0,0,0,0,0,0,0,0,10,131,0,0,0,0
Josh Hill,13.00,0,0,0,0,0,0,0,0,0,0,2,15,2,0,0,0
Alshon Jeffery,13.00,0,0,0,0,0,0,0,0,0,0,4,78,1,0,0,0
Antonio Brown,12.00,0,0,0,0,0,0,0,0,0,0,10,123,0,0,0,0
Marques Colston,12.00,0,0,0,0,0,0,0,0,0,0,5,65,1,0,0,0
Owen Daniels,12.00,0,0,0,0,0,0,0,0,0,0,4,62,1,0,0,0
Chris Polk,12.00,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
Matthew Stafford,12.00,28,17,153,1,0,0,1,2,0,0,0,0,0,0,0,0
Russell Wilson,12.00,24,12,168,1,1,0,5,27,0,0,0,0,0,0,0,0
Antonio Gates,11.00,0,0,0,0,0,0,0,0,0,0,6,54,1,0,0,0
Mark Ingram,11.00,0,0,0,0,0,0,17,59,1,0,0,0,0,0,0,0
James Jones,11.00,0,0,0,0,0,0,0,0,0,0,8,57,1,0,0,0
Greg Olsen,11.00,0,0,0,0,0,0,0,0,0,0,10,110,0,0,0,0
Philip Rivers,11.00,41,24,232,1,2,0,1,3,0,0,0,0,0,0,0,0
Roddy White,11.00,0,0,0,0,0,0,0,0,0,0,7,58,1,0,0,0
Joique Bell,10.00,0,0,0,0,0,0,15,62,0,0,4,41,0,0,0,0
Kelvin Benjamin,10.00,0,0,0,0,0,0,0,0,0,0,8,104,0,0,0,0
Randall Cobb,10.00,0,0,0,0,0,0,2,15,0,0,7,96,0,0,0,0
Jerricho Cotchery,10.00,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
Eric Decker,10.00,0,0,0,0,0,0,0,0,0,0,7,100,0,0,0,0
Arian Foster,10.00,0,0,0,0,0,0,26,99,0,0,3,18,0,0,0,0
Greg Jennings,10.00,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
Travis Kelce,10.00,0,0,0,0,0,0,0,0,0,0,5,59,1,0,1,0
Hakeem Nicks,10.00,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0
Nate Washington,10.00,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0
C.J. Anderson,9.00,0,0,0,0,0,0,29,85,0,0,2,11,0,0,0,0
Giovani Bernard,9.00,0,0,0,0,0,0,15,79,0,0,3,24,0,0,0,0
Matt Forte,9.00,0,0,0,0,0,0,16,78,0,0,2,21,0,0,0,0
Fred Jackson,9.00,0,0,0,0,0,0,20,71,0,0,3,27,0,0,0,0
Colin Kaepernick,9.00,19,11,141,0,0,0,9,46,0,0,0,0,0,0,0,0
Jarvis Landry,9.00,0,0,0,0,0,0,0,0,0,0,8,99,0,0,0,0
Jeremy Maclin,9.00,0,0,0,0,0,0,0,0,0,0,4,98,0,0,0,0
Doug Martin,9.00,0,0,0,0,0,0,14,96,0,0,1,3,0,0,0,0
Paul Richardson,9.00,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
Golden Tate,9.00,0,0,0,0,0,0,2,5,0,0,7,38,1,0,0,0
