,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Kirk Cousins,36.00,25,20,324,4,0,0,0,0,0,0,0,0,0,0,0,0
Ben Roethlisberger,33.00,33,22,379,3,1,1,2,-2,0,0,0,0,0,0,0,0
Jay Cutler,30.00,24,19,258,3,0,0,3,24,0,0,0,0,0,0,0,0
Jeremy Langford,29.00,0,0,0,0,0,0,20,73,1,0,7,109,1,0,0,0
Carson Palmer,28.00,47,29,363,3,1,0,3,-2,0,0,0,0,0,0,2,0
Antonio Brown,27.00,0,0,0,0,0,0,0,0,0,0,10,139,2,1,0,0
Adrian Peterson,27.00,0,0,0,0,0,0,26,203,1,0,2,13,0,0,0,0
Charcandrick West,27.00,0,0,0,0,0,0,24,69,1,0,3,92,1,0,0,0
Joe Flacco,26.00,45,34,316,3,2,0,2,17,0,0,0,0,0,0,1,0
Eli Manning,26.00,44,24,361,2,0,0,1,10,0,0,0,0,0,0,1,0
Aaron Rodgers,25.00,61,35,333,2,0,0,2,8,0,0,0,0,0,0,0,0
Matt Jones,24.00,0,0,0,0,0,0,11,56,0,0,3,131,1,0,0,0
Michael Floyd,23.00,0,0,0,0,0,0,0,0,0,0,7,113,2,0,0,0
Tom Brady,22.00,42,26,334,2,1,0,2,9,0,0,0,0,0,0,1,0
Martavis Bryant,22.00,0,0,0,0,0,0,0,0,0,0,6,178,1,0,1,0
Brandin Cooks,22.00,0,0,0,0,0,0,1,11,0,0,5,98,2,0,0,0
Zach Miller,22.00,0,0,0,0,0,0,0,0,0,0,5,107,2,0,0,0
Cam Newton,22.00,25,21,217,1,0,0,9,23,1,0,0,0,0,0,0,0
Derek Carr,21.00,43,29,302,2,2,0,2,12,0,0,0,0,0,0,0,0
Ryan Tannehill,20.00,36,21,217,2,0,0,2,-2,0,0,0,0,0,0,0,0
Doug Baldwin,19.00,0,0,0,0,0,0,0,0,0,0,7,134,1,0,0,0
Blake Bortles,19.00,45,22,188,2,1,0,2,25,0,0,0,0,0,0,0,0
Matthew Stafford,19.00,38,24,242,2,1,0,2,1,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,18.00,34,15,193,2,2,0,3,30,0,0,0,0,0,0,0,0
Johnny Manziel,18.00,45,33,372,1,1,0,3,17,0,0,0,0,0,0,1,0
Russell Wilson,18.00,32,14,240,1,1,0,6,52,0,0,0,0,0,0,0,0
Rob Gronkowski,17.00,0,0,0,0,0,0,0,0,0,0,5,113,1,0,0,0
Alex Smith,17.00,31,17,204,1,0,0,6,33,0,0,0,0,0,0,0,0
Odell Beckham Jr.,16.00,0,0,0,0,0,0,0,0,0,0,4,104,1,0,0,0
Drew Brees,16.00,28,19,209,2,2,0,0,0,0,0,0,0,0,0,0,0
Sam Bradford,15.00,25,19,236,1,0,0,1,0,0,0,0,0,0,0,0,0
LeSean McCoy,15.00,0,0,0,0,0,0,19,112,0,0,5,47,0,0,0,0
Lamar Miller,15.00,0,0,0,0,0,0,16,43,0,0,6,50,1,0,0,0
Jonathan Stewart,15.00,0,0,0,0,0,0,22,91,1,0,0,0,0,0,0,0
Eric Decker,14.00,0,0,0,0,0,0,0,0,0,0,6,85,1,0,0,0
Andre Ellington,14.00,0,0,0,0,0,0,5,61,1,0,3,27,0,0,0,0
Todd Gurley,14.00,0,0,0,0,0,0,12,45,1,0,3,44,0,0,0,0
Dwayne Harris,14.00,0,0,0,0,0,0,0,0,0,0,6,82,1,0,0,0
Jordan Reed,14.00,0,0,0,0,0,0,0,0,0,0,3,29,2,0,0,0
LeGarrette Blount,13.00,0,0,0,0,0,0,19,66,1,0,2,11,0,0,0,0
Teddy Bridgewater,13.00,22,14,140,1,0,0,2,23,0,0,0,0,0,0,0,0
Brent Celek,13.00,0,0,0,0,0,0,0,0,0,0,4,134,0,0,0,0
Larry Fitzgerald,13.00,0,0,0,0,0,0,0,0,0,0,10,130,0,0,0,0
Tyrod Taylor,13.00,27,17,158,1,0,0,6,12,0,0,0,0,0,0,0,0
Gary Barnidge,12.00,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0
Jamison Crowder,12.00,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
Mike Evans,12.00,0,0,0,0,0,0,0,0,0,0,8,126,0,0,0,0
Allen Hurns,12.00,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
Jameis Winston,12.00,39,22,264,0,2,0,3,3,1,0,0,0,0,0,0,0
Travis Benjamin,11.00,0,0,0,0,0,0,1,-7,0,0,7,113,0,0,0,0
DeAndre Hopkins,11.00,0,0,0,0,0,0,0,0,0,0,5,57,1,0,0,0
Chris Ivory,11.00,0,0,0,0,0,0,18,99,0,0,2,36,0,0,1,0
Jarvis Landry,11.00,0,0,0,0,0,0,1,6,0,0,7,52,1,0,0,0
DeMarco Murray,11.00,0,0,0,0,0,0,22,61,0,0,6,58,0,0,0,0
Justin Perillo,11.00,0,0,0,0,0,0,0,0,0,0,5,58,1,0,0,0
Allen Robinson,11.00,0,0,0,0,0,0,0,0,0,0,5,51,1,0,0,0
Crockett Gillmore,10.00,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0
Ronnie Hillman,10.00,0,0,0,0,0,0,11,42,1,0,2,9,0,0,0,0
Marshawn Lynch,10.00,0,0,0,0,0,0,8,42,1,0,1,8,0,0,0,0
Doug Martin,10.00,0,0,0,0,0,0,18,63,0,0,4,40,0,0,0,0
Alfred Morris,10.00,0,0,0,0,0,0,15,92,0,0,3,14,0,0,0,0
Brock Osweiler,10.00,24,14,146,1,1,0,3,18,0,0,0,0,0,0,0,0
Karlos Williams,10.00,0,0,0,0,0,0,7,24,0,0,1,26,1,0,0,0
Maxx Williams,10.00,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
Chris Givens,9.00,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0
Andre Holmes,9.00,0,0,0,0,0,0,0,0,0,0,1,34,1,0,0,0
Mark Ingram,9.00,0,0,0,0,0,0,5,77,0,0,3,21,0,0,0,0
Ryan Mathews,9.00,0,0,0,0,0,0,7,18,1,0,2,22,0,0,0,0
Rishard Matthews,9.00,0,0,0,0,0,0,1,4,0,0,5,93,0,0,0,0
Dexter McCluster,9.00,0,0,0,0,0,0,3,25,1,0,4,27,0,0,1,0
Richard Rodgers,9.00,0,0,0,0,0,0,0,0,0,0,5,32,1,0,0,0
James Starks,9.00,0,0,0,0,0,0,15,42,0,0,6,54,0,0,0,0
Andy Dalton,8.00,38,22,197,0,1,0,4,31,0,0,0,0,0,0,0,0
Ed Dickson,8.00,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0
Jermaine Gresham,8.00,0,0,0,0,0,0,0,0,0,0,2,26,1,0,0,0
Josh Huff,8.00,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0
Calvin Johnson,8.00,0,0,0,0,0,0,0,0,0,0,6,81,0,0,0,0
Brandon Marshall,8.00,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0
Lance Moore,8.00,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
Greg Olsen,8.00,0,0,0,0,0,0,0,0,0,0,8,80,0,0,0,0
T.J. Yates,8.00,11,5,69,1,0,0,2,-2,0,0,0,0,0,0,0,0
Davante Adams,7.00,0,0,0,0,0,0,0,0,0,0,10,79,0,0,0,0
Kamar Aiken,7.00,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0
Danny Amendola,7.00,0,0,0,0,0,0,0,0,0,0,10,79,0,0,0,0
Giovani Bernard,7.00,0,0,0,0,0,0,8,36,0,0,5,43,0,0,0,0
Andre Caldwell,7.00,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
Amari Cooper,7.00,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0
Rhett Ellison,7.00,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0
Brian Hartline,7.00,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0
Marcus Mariota,7.00,24,16,185,0,1,0,5,24,0,0,0,0,0,0,0,0
Demaryius Thomas,7.00,0,0,0,0,0,0,0,0,0,0,7,71,0,0,0,0
