,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Russell Wilson,41.00,23,14,205,1,0,0,9,92,3,0,0,0,0,0,0,0
Drew Brees,37.00,39,26,307,4,0,0,1,11,0,0,0,0,0,0,0,0
Sam Bradford,33.00,55,35,377,3,1,1,2,9,0,0,0,0,0,0,0,0
Colin Kaepernick,32.00,25,14,221,4,1,0,7,28,0,0,0,0,0,0,0,0
Aaron Rodgers,30.00,36,23,291,3,0,0,4,14,0,0,1,-1,0,0,0,0
Matt Ryan,28.00,28,23,270,3,0,0,1,-1,0,0,0,0,0,0,0,0
Adrian Peterson,27.00,0,0,0,0,0,0,24,212,1,0,0,0,0,0,0,0
Tom Brady,26.00,65,36,443,1,2,0,3,11,1,0,0,0,0,0,0,0
Ryan Tannehill,26.00,28,22,220,2,0,1,8,52,0,0,0,0,0,0,1,0
Kirk Cousins,25.00,37,26,329,2,1,0,3,22,0,0,0,0,0,0,0,0
Tony Romo,25.00,42,30,341,2,0,0,4,-4,0,0,0,0,0,0,0,0
James Jones,24.00,0,0,0,0,0,0,0,0,0,0,5,60,3,0,0,0
Dennis Pitta,24.00,0,0,0,0,0,0,0,0,0,0,7,125,2,0,0,0
Beanie Wells,24.00,0,0,0,0,0,0,17,67,3,0,0,0,0,0,0,0
Ben Roethlisberger,23.00,40,24,339,2,1,0,2,2,0,0,0,0,0,0,0,0
Michael Crabtree,22.00,0,0,0,0,0,0,0,0,0,0,7,107,2,0,0,0
Andre Johnson,21.00,0,0,0,0,0,0,0,0,0,0,11,151,1,0,0,0
Cam Newton,21.00,33,19,231,2,0,0,4,7,0,0,0,0,0,0,0,0
Julio Jones,20.00,0,0,0,0,0,0,1,18,0,0,6,74,2,0,0,0
Andrew Luck,20.00,27,13,186,2,0,0,2,10,0,0,0,0,0,0,0,0
Alfred Morris,20.00,0,0,0,0,0,0,27,87,2,0,2,6,0,0,0,0
Danny Woodhead,20.00,0,0,0,0,0,0,12,61,2,0,5,23,0,0,0,0
Eric Decker,19.00,0,0,0,0,0,0,0,0,0,0,8,133,1,0,0,0
Joe Flacco,19.00,40,20,254,2,1,0,2,-2,0,0,0,0,0,0,1,0
Brandon Lloyd,19.00,0,0,0,0,0,0,0,0,0,0,10,190,0,0,0,0
DeAngelo Williams,19.00,0,0,0,0,0,0,22,93,0,0,2,51,1,0,1,0
Chris Johnson,18.00,0,0,0,0,0,0,21,122,1,0,0,0,0,0,0,0
Marshawn Lynch,18.00,0,0,0,0,0,0,10,113,1,0,1,14,0,0,0,0
