,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron Rodgers,42.00,37,25,404,4,0,0,2,26,0,0,0,0,0,0,0,0
Josh Freeman,41.00,26,21,237,5,0,0,4,23,0,0,0,0,0,0,0,0
Carson Palmer,34.00,21,16,269,4,0,0,2,-1,0,0,0,0,0,0,0,0
Matt Cassel,32.00,34,24,314,3,0,0,3,20,0,0,0,0,0,0,0,0
Jay Cutler,30.00,25,13,215,3,1,0,4,3,1,0,0,0,0,0,0,0
Tom Brady,24.00,27,15,140,3,0,0,3,13,0,0,0,0,0,0,0,0
Jerome Simpson,24.00,0,0,0,0,0,0,0,0,0,0,6,124,2,0,0,0
Tim Tebow,24.00,29,16,308,1,1,0,10,27,1,0,0,0,0,0,0,0
Michael Vick,24.00,43,25,263,1,1,0,8,63,1,0,0,0,0,0,2,0
Jamaal Charles,23.00,0,0,0,0,0,0,13,77,0,0,4,40,2,0,0,0
Peyton Manning,23.00,30,16,179,3,2,0,3,25,0,0,0,0,0,0,0,0
Matt Forte,22.00,0,0,0,0,0,0,19,113,1,0,4,56,0,0,0,0
David Garrard,22.00,38,22,299,1,2,0,6,39,1,0,0,0,0,0,0,0
Ben Roethlisberger,22.00,32,22,320,1,0,0,7,2,1,0,0,0,0,0,2,0
Dwayne Bowe,21.00,0,0,0,0,0,0,0,0,0,0,6,153,1,0,0,0
Correll Buckhalter,21.00,0,0,0,0,0,0,11,42,1,0,3,50,1,0,0,0
Shaun Hill,21.00,26,14,222,2,0,0,1,10,0,0,0,0,0,0,0,0
Johnny Knox,21.00,0,0,0,0,0,0,0,0,0,0,4,92,2,0,0,0
Kellen Winslow,21.00,0,0,0,0,0,0,0,0,0,0,7,98,2,0,0,0
John Kuhn,20.00,0,0,0,0,0,0,6,22,2,0,2,7,1,0,0,0
Arian Foster,19.00,0,0,0,0,0,0,19,91,1,0,4,44,0,0,0,0
Mario Manningham,19.00,0,0,0,0,0,0,0,0,0,0,4,132,1,0,0,0
Michael Crabtree,18.00,0,0,0,0,0,0,0,0,0,0,6,122,1,0,0,0
Danny Woodhead,18.00,0,0,0,0,0,0,13,93,1,0,3,32,0,0,0,0
Kerry Collins,17.00,37,14,235,2,2,0,2,-1,0,0,0,0,0,0,0,0
Rob Gronkowski,17.00,0,0,0,0,0,0,0,0,0,0,4,54,2,0,0,0
Eli Manning,17.00,33,17,301,2,4,0,1,12,0,0,0,0,0,0,0,0
Jordy Nelson,17.00,0,0,0,0,0,0,0,0,0,0,4,124,1,0,1,0
Adrian Peterson,17.00,0,0,0,0,0,0,22,118,1,0,1,11,0,0,1,0
Andre Roberts,17.00,0,0,0,0,0,0,0,0,0,0,5,110,1,0,0,0
Miles Austin,16.00,0,0,0,0,0,0,1,6,0,0,6,115,1,0,1,0
LeGarrette Blount,16.00,0,0,0,0,0,0,18,164,0,0,1,3,0,0,0,0
Sam Bradford,16.00,37,28,292,1,0,0,0,0,0,0,0,0,0,0,1,0
Jason Campbell,16.00,42,29,231,1,0,0,3,10,0,0,0,0,0,0,0,0
